STATcube

Studies at public universities (Q)
Semester, Sex and Universität (Ebene +1) by Ordinary Studies and Kind of study
Counting: Ordinary Studies

Semester,Sex,University (Ebene +1),Values,Kind of study,Number,Annotations,Column1
winter semester 2012/13,female,University of the sciences,Ordinary Studies,Diploma studies,55638,,
winter semester 2012/13,female,University of the sciences,Ordinary Studies,Master studies,20169,,
winter semester 2012/13,female,University of the sciences,Ordinary Studies,Doctoral studies,13100,,
winter semester 2012/13,female,University of the arts,Ordinary Studies,Bachelor studies,1635,,
winter semester 2012/13,female,University of the arts,Ordinary Studies,Diploma studies,2802,,
winter semester 2012/13,female,University of the arts,Ordinary Studies,Master studies,1026,,
winter semester 2012/13,female,University of the arts,Ordinary Studies,Doctoral studies,485,,
winter semester 2012/13,male,University of the sciences,Ordinary Studies,Bachelor studies,83920,,
winter semester 2012/13,male,University of the sciences,Ordinary Studies,Diploma studies,39940,,
winter semester 2012/13,male,University of the sciences,Ordinary Studies,Master studies,18742,,
winter semester 2012/13,male,University of the sciences,Ordinary Studies,Doctoral studies,14909,,
winter semester 2012/13,male,University of the arts,Ordinary Studies,Bachelor studies,1487,,
winter semester 2012/13,male,University of the arts,Ordinary Studies,Diploma studies,1948,,
winter semester 2012/13,male,University of the arts,Ordinary Studies,Master studies,749,,
winter semester 2012/13,male,University of the arts,Ordinary Studies,Doctoral studies,415,,
summer semester 2013,female,University of the sciences,Ordinary Studies,Bachelor studies,84891,,
summer semester 2013,female,University of the sciences,Ordinary Studies,Diploma studies,48664,,
summer semester 2013,female,University of the sciences,Ordinary Studies,Master studies,21135,,
summer semester 2013,female,University of the sciences,Ordinary Studies,Doctoral studies,12724,,
summer semester 2013,female,University of the arts,Ordinary Studies,Bachelor studies,1542,,
summer semester 2013,female,University of the arts,Ordinary Studies,Diploma studies,2592,,
summer semester 2013,female,University of the arts,Ordinary Studies,Master studies,977,,
summer semester 2013,female,University of the arts,Ordinary Studies,Doctoral studies,440,,
summer semester 2013,male,University of the sciences,Ordinary Studies,Bachelor studies,80096,,
summer semester 2013,male,University of the sciences,Ordinary Studies,Diploma studies,35546,,
summer semester 2013,male,University of the sciences,Ordinary Studies,Master studies,19202,,
summer semester 2013,male,University of the sciences,Ordinary Studies,Doctoral studies,14522,,
summer semester 2013,male,University of the arts,Ordinary Studies,Bachelor studies,1406,,
summer semester 2013,male,University of the arts,Ordinary Studies,Diploma studies,1814,,
summer semester 2013,male,University of the arts,Ordinary Studies,Master studies,724,,
summer semester 2013,male,University of the arts,Ordinary Studies,Doctoral studies,375,,
winter semester 2013/14,female,University of the sciences,Ordinary Studies,Bachelor studies,88055,,
winter semester 2013/14,female,University of the sciences,Ordinary Studies,Diploma studies,49455,,
winter semester 2013/14,female,University of the sciences,Ordinary Studies,Master studies,24517,,
winter semester 2013/14,female,University of the sciences,Ordinary Studies,Doctoral studies,12506,,
winter semester 2013/14,female,University of the arts,Ordinary Studies,Bachelor studies,1560,,
winter semester 2013/14,female,University of the arts,Ordinary Studies,Diploma studies,2684,,
winter semester 2013/14,female,University of the arts,Ordinary Studies,Master studies,1067,,
winter semester 2013/14,female,University of the arts,Ordinary Studies,Doctoral studies,443,,
winter semester 2013/14,male,University of the sciences,Ordinary Studies,Bachelor studies,83694,,
winter semester 2013/14,male,University of the sciences,Ordinary Studies,Diploma studies,35607,,
winter semester 2013/14,male,University of the sciences,Ordinary Studies,Master studies,21134,,
winter semester 2013/14,male,University of the sciences,Ordinary Studies,Doctoral studies,14428,,
winter semester 2013/14,male,University of the arts,Ordinary Studies,Bachelor studies,1443,,
winter semester 2013/14,male,University of the arts,Ordinary Studies,Diploma studies,1881,,
winter semester 2013/14,male,University of the arts,Ordinary Studies,Master studies,796,,
winter semester 2013/14,male,University of the arts,Ordinary Studies,Doctoral studies,374,,
summer semester 2014,female,University of the sciences,Ordinary Studies,Bachelor studies,80727,,
summer semester 2014,female,University of the sciences,Ordinary Studies,Diploma studies,46542,,
summer semester 2014,female,University of the sciences,Ordinary Studies,Master studies,25340,,
summer semester 2014,female,University of the sciences,Ordinary Studies,Doctoral studies,12216,,
summer semester 2014,female,University of the arts,Ordinary Studies,Bachelor studies,1474,,
summer semester 2014,female,University of the arts,Ordinary Studies,Diploma studies,2563,,
summer semester 2014,female,University of the arts,Ordinary Studies,Master studies,1051,,
summer semester 2014,female,University of the arts,Ordinary Studies,Doctoral studies,435,,
summer semester 2014,male,University of the sciences,Ordinary Studies,Bachelor studies,78227,,
summer semester 2014,male,University of the sciences,Ordinary Studies,Diploma studies,33140,,
summer semester 2014,male,University of the sciences,Ordinary Studies,Master studies,21526,,
summer semester 2014,male,University of the sciences,Ordinary Studies,Doctoral studies,14097,,
summer semester 2014,male,University of the arts,Ordinary Studies,Bachelor studies,1379,,
summer semester 2014,male,University of the arts,Ordinary Studies,Diploma studies,1764,,
